siret14,siren9,enseigne,denomination,type_pv,code_naf,adresse,capital_social_num,ca_2021_num,ca_2024_num,match_methods
93143055700013,931430557,CARREFOUR CITY,FZYNA,super,4711D,"7 Square DES FUSILLES , 38000 GRENOBLE",7500,,,prefix6_exact
44433064101075,444330641,ALDI MARCHE,ALDI MARCHE,super,4711D,"NA NA LES ILES , 38120 SAINT-EGREVE",,,,
81422763300025,814227633,CARREFOUR CITY,FAVIDIS,super,4711D,"22 Cours JEAN JAURES , 38000 GRENOBLE",20230,3320000,4070000,prefix6_exact
98779465800037,987794658,INTERMARCHE,CALAO 36,super,4711D,"26 Cours BERRIAT , 38000 GRENOBLE",3875731,,,prefix6_exact
93307543400011,933075434,CARREFOUR CITY,MAESSIA,super,4711D,"31 Cours JEAN JAURES , 38000 GRENOBLE",3000,,,prefix6_exact
44861416400011,448614164,,,super,4711D,"1 Rue DES CLERCS , 38000 GRENOBLE",,,,prefix6_exact
89765470300023,897654703,CARREFOUR CITY,DESTINO MTD,super,4711D,"2 Avenue RHIN ET DANUBE , 38100 GRENOBLE",3000,1130000,2380000,prefix6_exact
34326262227282,343262622,LIDL,SNC  LIDL,super,4711D,"33 Avenue DE VERDUN , 38240 MEYLAN",,,,
34326262218893,343262622,LIDL,LIDL,super,4711D,"97 Rue DES ALLIES , 38100 GRENOBLE",,,,
89158795800028,891587958,CARREFOUR CITY,ECHIROLLES BAMACC,super,4711D,"17 NA GRANDE RUE , 38000 GRENOBLE",10000,1390000,2050000,prefix6_exact
44433064101422,444330641,ALDI MARCHE,ALDI MARCHE,super,4711D,"2 Rue HOCHE , 38000 GRENOBLE",,,,
81372232900030,813722329,CITY,REDH' DISTRIB,super,4711D,"17 Avenue ALBERT 1ER DE BELGIQUE , 38000 GRENOBLE",20290,3190000,3870000,prefix6_exact
83749801300023,837498013,CARREFOUR EXPRESS,BIGEL DISTRIBUTION,super,4711D,"28 NA GRANDE RUE , 38700 LA TRONCHE",10820,,-8930,prefix6_exact
45132133501120,451321335,CARREFOUR,CARREFOUR HYPERMARCHES,hyper,4711F,"1 Boulevard DES ALPES , 38240 MEYLAN",,,,
97828380200012,978283802,CARREFOUR CITY,CLI WAGNER,super,4711D,"9 Rue GUETAL , 38000 GRENOBLE",7500,,1400000,prefix6_exact
98245083500011,982450835,CARREFOUR EXPRESS,RCMS DISTRIBUTION,super,4711D,"1 Rue DE PREDIEU , 38120 SAINT-EGREVE",10130,,2070000,prefix6_exact
94515324500010,945153245,CARREFOUR CITY,MERCA RANDON,super,4711D,"25 Avenue MARECHAL RANDON , 38000 GRENOBLE",270300,,,prefix6_exact
34326262218703,343262622,LIDL,LIDL,super,4711D,"NA Avenue GENERAL LECLERC , 38950 SAINT-MARTIN-LE-VINOUX",,,,
90272346900026,902723469,CARREFOUR EXPRESS,MARTIN TEVA DISTRIBUTION,super,4711D,"47 Avenue DE CHARTREUSE , 38240 MEYLAN",9460,,1580000,prefix6_exact
50751360400029,507513604,UTILE,HOCHEDIS,super,4711D,"8 Rue HOCHE , 38000 GRENOBLE",102000,,,prefix6_exact
84287351500014,842873515,CARREFOUR CONTACT,MERCA DISTRI,super,4711D,"12 Rue ANDRE ARGOUGES , 38100 GRENOBLE",,,,
33489707100034,334897071,INTERMARCHE,SOVALGRE,super,4711D,"13 Boulevard MARECHAL FOCH , 38000 GRENOBLE",168432,13200000,15700000,prefix6_exact
42826802302370,428268023,,DISTRIBUTION CASINO FRANCE,super,4711D,"26 Cours BERRIAT , 38000 GRENOBLE",,,,
98261290500017,982612905,,CLOVALORO,super,4711D,"18 Rue DE STRASBOURG , 38000 GRENOBLE",5000,,1280000,prefix6_exact
53311993900031,533119939,CARREFOUR CITY,BAMACC,super,4711D,"2 Avenue FELIX VIALLET , 38000 GRENOBLE",,,,
45132133502185,451321335,CARREFOUR,CARREFOUR HYPERMARCHES,hyper,4711F,"1 Rue DES ABATTOIRS , 38120 SAINT-EGREVE",,,,
83888448400018,838884484,CARREFOUR EXPRESS,SOCIETE TOURNIER DISTRIBUTION,super,4711D,"66 Avenue DES MARTYRS , 38000 GRENOBLE",162200,1340000,1650000,prefix6_exact
43499721900028,434997219,,GWENLIB,super,4711D,"13 Avenue ALBERT 1ER DE BELGIQUE , 38000 GRENOBLE",8000,2020000,,prefix6_exact
32880337400011,328803374,INTERMARCHE,SOPLANADE SA,super,4711D,"15 Route DE LYON , 38000 GRENOBLE",,,,
43397829300028,433978293,,LA CAPUCHE,super,4711D,"10 Rue EDOUARD VAILLANT , 38100 GRENOBLE",,,,
40098842400505,400988424,CARREFOUR CITY,ALTOP,super,4711D,"7 Square DES FUSILLES , 38000 GRENOBLE",,,,
41040901501228,410409015,AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,super,4711D,"112 Avenue JEAN PERROT , 38100 GRENOBLE",,,,
55208329701786,552083297,MONOPRIX,"MONOPRIX EXPLOITATION, PAR ABREVIATION MPX",super,4711D,"3 Rue CHARLES LORY , 38000 GRENOBLE",,,,
41040901502747,410409015,AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,super,4711D,"58 Boulevard MARECHAL FOCH , 38000 GRENOBLE",,,,
41040901503372,410409015,AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,super,4711D,"10 Avenue MARIE REYNOARD , 38100 GRENOBLE",,,,
41040901501210,410409015,AUCHAN SUPERMARCHE,AUCHAN SUPERMARCHE,super,4711D,"35 Rue DE STALINGRAD , 38100 GRENOBLE",,,,
88340923700012,883409237,UTILE,UTILE,super,4711D,"8 Rue HOCHE , 38000 GRENOBLE",,,,
