Code_IRIS,Nom_IRIS,Commune,Nb_PDV_access_voiture_2025,Nb_supermarches_access_pied_2025,Taux_couverture_IRIS_2025_pct,Nb_PDV_dans_IRIS_2025,Nb_drives_dans_IRIS_2025,Nb_PDV_access_voiture_2020,Nb_supermarches_access_pied_2020,Taux_couverture_IRIS_2020_pct,Score_classement_A,Rang_classement_A,Score_classement_B,Rang_classement_B
381260000,Corenc (commune non irisée),Corenc,3,3,54.946,0,0,2,1,54.866,39.6,71,54.8,23
381850503,Abbaye,Grenoble,6,1,100,1,1,5,1,100,41,70,40.6,82
381850311,Abry,Grenoble,6,1,100,0,0,5,1,100,48.3,51,50.3,44
381850214,Aigle,Grenoble,14,7,100,0,0,13,8,100,54.1,32,45,63
381850412,Alliés-Clos d'Or,Grenoble,5,4,100,0,0,5,4,100,43.7,66,48.5,55
381850413,Alpins,Grenoble,6,1,100,1,0,4,1,100,49,49,48.6,54
381850604,Arlequin,Grenoble,2,1,25.947,0,0,2,1,25.947,29.1,85,53.7,25
381850410,Bajatière Est,Grenoble,7,4,100,0,0,6,4,100,54.4,31,52.9,34
381850409,Bajatière Ouest,Grenoble,9,5,100,0,0,7,4,100,55.3,27,51.3,41
381850607,Baladins,Grenoble,1,0,100,0,0,1,0,100,38.4,75,49.7,49
381850414,Beauvert,Grenoble,6,2,100,0,0,5,2,100,52.9,39,53.1,33
381850108,Berriat-Ampère,Grenoble,5,4,100,0,0,6,1,100,51.7,41,53.5,28
381850411,Capuche,Grenoble,8,6,100,1,1,7,5,100,49.4,47,43.6,72
381850215,Championnet,Grenoble,13,14,100,0,0,12,12,100,58,16,48.4,56
381850405,Clemenceau,Grenoble,8,8,100,0,0,6,7,100,54.1,33,51.6,38
381850302,Clinique Mutualiste,Grenoble,4,2,100,0,0,5,2,100,44.5,64,50.1,45
381850605,Constantine-Géants,Grenoble,1,1,100,0,0,2,1,100,38.7,73,49.8,46
381850106,Cours Berriat,Grenoble,5,6,100,0,0,6,5,100,44.2,65,48.8,52
381850204,Créqui-Victor Hugo,Grenoble,10,13,100,1,0,10,12,100,64.1,4,53.5,27
381850404,Diables Bleus,Grenoble,8,8,100,1,0,6,6,100,56.6,23,51.1,42
381850104,Diderot,Grenoble,4,4,100,0,0,5,4,100,56.3,25,57.4,17
381850301,Drac-Ampère,Grenoble,4,3,100,3,1,3,1,100,53.7,36,46.5,61
381850305,Eaux Claires-Champs Élysées,Grenoble,6,3,100,0,0,7,3,100,53.4,38,53.4,29
381850307,Eaux Claires-Painlevé,Grenoble,4,1,100,0,0,3,1,100,50.9,43,54.1,24
381850201,Esplanade,Grenoble,7,9,80.879,1,1,8,9,84.696,45.1,61,44.8,64
381850103,Europole,Grenoble,7,7,100,0,0,8,6,100,45.5,59,47.4,58
381850407,Ferrié-Stalingrad,Grenoble,11,8,100,0,0,10,7,100,45.6,58,43,73
381850402,Foch Est,Grenoble,11,10,100,1,0,10,8,100,46.6,54,41.5,79
381850401,Foch Ouest,Grenoble,13,6,100,1,0,12,6,100,46.3,57,39.1,87
381850107,Gabriel Péri,Grenoble,11,7,100,0,0,9,8,100,45.4,60,42.9,74
381850105,Gare,Grenoble,6,6,100,1,1,7,7,100,46.4,56,43.9,69
381850611,Grand-Place Alpexpo,Grenoble,2,0,100,0,0,2,0,100,0,94,24.7,93
381850205,Grenette,Grenoble,11,11,100,1,0,11,8,100,48.3,52,42.6,76
381850403,Gustave Rivet,Grenoble,9,8,100,1,0,10,6,100,46.4,55,43.6,71
381850211,Génissieu,Grenoble,13,12,100,1,0,12,10,100,48.1,53,40.3,83
381850606,Helbronner,Grenoble,2,1,62.233,0,0,2,1,62.233,49.1,48,60.7,11
381850216,Hoche,Grenoble,11,9,100,0,0,11,6,100,41.1,69,40.2,85
381850308,Houille Blanche,Grenoble,5,3,100,0,0,6,3,100,50.4,44,52.6,35
381850213,Hébert-Mutualité,Grenoble,6,7,100,0,0,5,5,100,57.4,19,55.9,20
381850304,Jaurès-Vallier,Grenoble,12,3,100,0,0,11,3,100,49.7,46,44.4,66
381850203,Jean Jaurès,Grenoble,12,9,100,2,0,11,7,100,60.6,9,47,60
381850102,Jean Macé,Grenoble,9,7,100,1,0,9,8,100,52.4,40,47.3,59
381850502,Jeanne d'Arc,Grenoble,7,1,100,0,0,6,1,100,48.9,50,49.5,51
381850504,Jouhaux,Grenoble,6,2,100,0,0,5,2,100,38.7,72,44.3,67
381850602,La Bruyère,Grenoble,4,2,83.491,0,0,4,2,83.491,50.2,45,56.1,19
381850603,Les Trembles,Grenoble,4,1,94.975,0,0,4,1,94.975,22.4,89,37.2,90
381850111,Lustucru,Grenoble,9,4,100,0,0,8,6,100,58.7,12,53.3,31
381850601,Malherbe,Grenoble,7,2,98.175,1,0,6,2,98.175,44.7,63,45.1,62
381850309,Mistral,Grenoble,4,0,100,0,0,3,0,100,32.1,83,42.4,77
381850207,Notre-Dame,Grenoble,5,7,100,0,0,5,4,100,37.3,77,44.5,65
381850506,Paul Cocat,Grenoble,3,2,100,0,0,3,2,100,42.1,68,49.7,47
381850408,Peretto,Grenoble,8,5,100,1,0,7,4,100,58.8,11,52.4,36
381850101,Polygone,Grenoble,4,1,99.319,0,0,6,1,98.407,0,93,22.6,94
381850505,Poterne,Grenoble,3,2,100,0,0,3,2,100,26.6,86,40.1,86
381850212,Préfecture,Grenoble,14,15,100,4,0,14,13,100,58,15,39,88
381850406,Reyniès,Grenoble,10,6,100,0,0,9,5,100,56.4,24,50.8,43
381850310,Rondeau-Libération,Grenoble,4,0,97.779,0,0,3,0,98.258,54,34,56.3,18
381850206,Saint-André,Grenoble,8,5,100,2,0,9,4,100,57.7,18,49.7,48
381850109,Saint-Bruno,Grenoble,10,6,100,0,0,9,8,100,54.4,30,49.6,50
381850202,Saint-Laurent-Lavalette,Grenoble,6,5,62.564,0,0,8,4,62.513,42.6,67,52.2,37
381850306,Sidi-Brahim,Grenoble,8,3,100,0,0,8,4,100,53.6,37,51.3,40
381850507,Teisseire,Grenoble,2,1,100,0,0,2,1,100,36.7,78,47.5,57
381850208,Trois Cours,Grenoble,4,3,100,0,0,4,2,100,56.7,22,57.7,16
381850303,Vallier,Grenoble,9,3,100,1,0,9,3,100,44.7,62,42.6,75
381850501,Valmy,Grenoble,6,0,100,0,0,5,0,100,35.4,80,42.2,78
381850608,Vigny-Musset,Grenoble,6,2,100,1,0,6,2,100,53.9,35,51.6,39
381850609,Village Olympique Nord,Grenoble,2,1,99.231,0,0,3,1,99.231,38.6,74,48.8,53
381850610,Village Olympique Sud,Grenoble,3,1,100,0,0,3,1,100,23.7,88,38.3,89
381850110,Waldeck-Rousseau,Grenoble,5,4,100,0,0,6,2,100,51.6,42,53.4,30
381850210,Île Verte-Maréchal Randon,Grenoble,4,1,100,0,0,4,0,100,56.8,21,57.7,15
381850209,Île Verte-Saint-Roch,Grenoble,5,2,99.855,1,0,5,1,99.855,55.1,28,53.5,26
385160101,Maquis du Grésivaudan Nord,La Tronche,2,2,38.807,1,0,2,1,38.807,38,76,55.3,22
385160102,Maquis du Grésivaudan Sud,La Tronche,4,2,98.103,0,0,4,1,98.103,34.7,81,44.3,68
382290201,Ayguinards,Meylan,2,3,100,0,0,1,1,100,62.6,5,63.5,6
382290101,Béalières,Meylan,2,2,100,0,0,1,0,100,58.7,13,61.1,9
382290102,Grand Pré-Buclos-Eyminées,Meylan,2,3,100,1,0,1,1,100,61.7,7,60.9,10
382290302,Haut Meylan,Meylan,2,2,66.501,1,0,1,0,66.501,73.1,2,72.9,1
382290301,Maupertuis-Saint-Mury-Charlaix,Meylan,2,1,100,0,0,1,0,100,75.2,1,71.3,2
382290203,Plaine Fleurie,Meylan,3,0,100,0,0,2,0,100,57.8,17,59.4,13
382290202,Revirée,Meylan,3,1,100,0,0,2,1,100,60.8,8,61.3,8
382290404,Zone Spécifique l'Île d'Amour,Meylan,2,1,71.501,0,0,1,1,71.501,20.3,92,41.5,80
382290401,Zone d'Activités 1,Meylan,2,2,100,1,1,1,1,100,20.4,91,32.2,91
382290402,Zone d'Activités 2,Meylan,2,0,100,0,0,1,0,100,25,87,40.2,84
382290403,Zone d'Activités 3,Meylan,2,0,100,0,0,1,0,100,30.5,84,43.7,70
384230102,Nord-Est,Saint-Martin-le-Vinoux,6,2,17.842,0,0,8,2,21.123,33.5,82,53.2,32
384230101,Sud-Ouest et Z.I.,Saint-Martin-le-Vinoux,6,3,98.943,1,0,5,3,98.943,36,79,40.7,81
383820104,Barnave-Saint-Robert,Saint-Égrève,3,0,100,0,0,4,0,100,66.5,3,64.9,4
383820103,Champaviotte,Saint-Égrève,3,0,100,0,0,4,1,100,55.8,26,58.2,14
383820201,Fiancey-Brieux,Saint-Égrève,3,1,37.658,0,0,4,1,37.565,57.4,20,68.4,3
383820105,La Monta-Visancourt,Saint-Égrève,3,0,81.159,0,0,4,0,81.552,61.8,6,64.7,5
383820202,Moutonnées,Saint-Égrève,3,1,100,0,0,4,1,100,58,14,59.6,12
383820203,Prédieu,Saint-Égrève,3,1,100,1,0,3,1,100,55.1,29,55.7,21
383820102,Rochepleine,Saint-Égrève,2,2,100,0,0,3,3,100,60,10,61.9,7
383820101,Zone Industrielle,Saint-Égrève,5,3,98.177,2,1,5,4,98.382,21.9,90,28,92
